,title,salary,location,description
18,ADMINISTRATIVNA DELA,5.92 €/h,ŠKOFJA LOKA,"Vnašanje podatkov v SAP. Obvezno je znanje angleškega jezika, natančnost in dosegljivost 2-3 dni na teden. Poznavanje SAP sistema predstavlja prednost. 
Poleg urne postavke nudijo tudi plačan prevoz na delo in malico na lokaciji."
19,ZDRAVSTVENA NEGA,6.34 €/h,LJUBLJANA,Iščejo polnoletne osebe zdravstvene smeri za zdravstveno nego na oddelku.
20,ADMINISTRATIVNA DELA,5.21 €/h,LJUBLJANA BTC,"Najuspešnejši trgovec s tehničnim blagom vabi v svojo UAU ekipo zelo natančno osebo, ki bo v kadrovski službi pomagala pri urejanju in arhiviranju dokumentov."
21,PREVAJANJE,0 €/h,LJUBLJANA (VIČ),"Podjetje išče pomoč pri prevajanju spletne strani v poljski jezik. Spletna stran je preprosta, prevajanje bi potekalo na lokaciji podjetja."
22,ELEKTROTEHNIČNA DELA,7.00 €/h,DOMŽALE,"Podjetje išče 2 osebi za elektrotehnična dela: izvedba elektroinštalacijskih del na objektih, montaža strelovoda, montaža svetil in druga majša elektroinštalacijska dela. 
Zaželene so izkušnje."
23,PREVAJANJE,0 €/h,LJUBLJANA (VIČ),"Podjetje išče pomoč pri prevajanju spletne strani v nemški jezik. Spletna stran je preprosta, prevajanje bi potekalo na lokaciji podjetja."
24,PROGRAMIRANJE,10.00 €/h,LAVRICA,"Podjetje išče osebi za razvoj poslovnih aplikacij. Prednost imajo osebe zadnjega letnika informatike, matematike in fizike. Znanje programiranja je nujno (Delphi, #C). Zaželeno poznavanje SQL-a."
25,STREŽBA,15.00 €/h,LJUBLJANA,Iščejo osebe za delo v strežbi na silvestrovanju. Pogoj je starost nad 18 let.
26,HOSTES/A,15.00 €/h,LJUBLJANA,Iščejo osebi za hostesno delo na silvestrovanju. Pogoj je starost nad 18 let.
27,STREŽBA,7.50 €/h,LJUBLJANA,Iščejo večje število študentov/k za delo v strežbi.
28,PROJEKTIRANJE,8.45 €/h,ŽALEC ALI OD DOMA,"Potrebujejo študenta/študentko z izkušnjami pri pripravi idejne zasnove manjšega objekta, osebo, ki dobro pozna program Archicad ali podoben program, s katerim je mogoče hitro generirati osnovne rešitve (tlorisi, osnovno pohištvo, fasade) v 3D okolju."
29,PROJEKTNO DELO,0 €/h,KOPER / DELO OD DOMA,"V sodelovanju z dvema podjetjema z obale iščejo študente/ke zaključnih letnikov za vodenje razvoja inovativnih produktov. Ste pripravljeni stopiti v čevlje vodilnega, reševati pomembne izzive in razvijati produkte z uporabo startup metodologij ter spoznati podobno misleče mlade kreativce in narediti prvi korak v smeri finančne neodvisnosti? Izkušnje niso pogoj. Pri delu ti bo pomagal mentor. Potrebna sta želja in pripravljenost stopiti izven cone udobja. Prijavite se s spletnim obrazcem."
30,STREŽBA,6.50 €/h,GOČOVA,"Strežba na dogodkih, kot so skupine, krst, birma, poroka in alacart pod svetovanjem hišnih natakarjev."
31,DELO S STRANKAMI,6.00 €/h,KRŠKO,"Na drsališču potrebujejo vestne in zanesljive študente/ke za naslednja dela: izposoja drsalk, skrb za red ob in na drsališču ter vzdrževanje drsalne površine. Delo poteka od pon-čet med 15. in 19. uro, od pet-ned med 15. in 20. uro, po dogovoru in potrebi. Drsališče se nahaja v starem mestnem jedru Krškega."
32,ADMINISTRATIVNA DELA,6.00 €/h,ŠENTRUPERT,"Potrebujejo polnoletno, natančno in prijazno osebo v oddelku prodaje za delo s strankami. Delo zajema urejanje in vpisovanje naročil v informacijski sistem (Microsoft Navision) ter usklajevanje dobav končnim kupcem. Pomoč pri vnosu podatkov iz starega v nov informacijski sistem.  Ko je dosežena samostojnost pri delu, urno postavko dvignejo na 8, 50 € bruto. Zaželene so predhodne izkušnje pri delu s strankami. Možna je tudi kasnejša redna zaposlitev. Pošlji prijavo in CV."
33,POUČEVANJE,0 €/h,LJUBLJANA,Podjetje išče osebo za poučevanje elektrotehnike- avtodiagnostike za praktično ali teoretično poučevanje na predmetih stroke v poklicih avtoserviser in avtoservisni tehnik. Pogoj je ustrezna izobrazba (elektrotehnika).
34,PROGRAMIRANJE,15.00 €/h,LJUBLJANA,"Iščejo študenta/ki za Java Swing programiranje, frontend in dodelavo obstoječe aplikacije. Pošljite CV."
35,ROČNA DELA,6.00 €/h,LJUBLJANA,Iščejo več oseb za zlaganje časopisov na stroj. Delo poteka od 7. do 14. ure.
36,ROČNA DELA,6.00 €/h,LJUBLJANA,Iščejo več polnoletnih oseb za zlaganje časopisov na stroj. Delo poteka od 21. do 1. ure zjutraj.
37,ADMINISTRATIVNA DELA,7.01 €/h,LJUBLJANA (BTC),"Delo zajema izpolnjevanje dokumentacije, obdelavo naročil, vnašanje podatkov v Excel in druga administrativna dela. Prednost imajo študenti/ke družboslovne smeri. Delo poteka 4-krat tedensko med ponedeljkom in četrtkom-po potrebi, na sedežu podjetja. Pričakuje se znanje vsaj enega tujega jezika (angleščina), dobro poznavanje paketa MS Office, resen odnos do dela ter samoiniciativnost, organiziranost in sposobnost dela v timu. K spletni prijavi priloži CV."
38,ROČNA DELA,6.00 €/h,LJUBLJANA,Iščejo polnoletni osebi za zlaganje časopisov na stroj. Delo poteka od 21. do 1. ure zjutraj.
39,INFORMATIKA,5.21 €/h,LJUBLJANA,"Iščejo študenta/ko - IT Support / IT asistent. Delo obsega pomoč internim zaposlenim z opremo, naročanje in dobava. Potrebno poznavanje Windows OS, MacOS, iOS in Android sistemov in izkušnje z IT supportom. Pošlji prijavo."
40,BLAGAJNIK,6.50 €/h,LJUBLJANA CENTER,Iščejo osebo za delo na blagajni. Delovno mesto zajema tudi pakiranje hrane za s sabo. Odprti so od ponedeljka do petka od 10. do 17. ure. Za podrobnejše informacije o delu pokličite ali pišite na e-mail.
41,POMOČ PRI PRODAJI,6.00 €/h,CELJE,"Mednarodno podjetje z več kot 30 letno tradicijo, ki trži priznane blagovne znamke, išče polnoletno osebo za delo v trgovini (pomoč pri prodaji, prevzemanje blaga in skrb za urejenost prostora). Delo je večizmensko, po dogovoru oz. potrebi. Izkušnje z delom v trgovini so prednost. Zainteresirani kandidati/ke pošljite prijavo in življenjepis na e-mail."
42,DELO V DELAVNICI,7.60 €/h,KOZINA,"Iščejo osebo za pomoč pri različnih delih (pomoč pri vezavi elektro omar, pomoč pri izdelavi kablov, pomoč pri pospravljanju skladišča, popisu materiala v skladišču / inventura, . . . ). Delo je raznoliko, definitivno ni monotono in za nekoga, ki ga zanima elektrotehnika ali industrijska avtomatizacija zanimivo. Pošlji prijavo."
